Name,Code,Type,Image,Reference
Black Flying Fox,AB,Bat,black_flying_fox.jpg,{[{"site":"Austalian Museum","url":"https://australianmuseum.net.au/black-flying-fox"},{"site":"Wikipedia","url","https://en.wikipedia.org/wiki/Black_flying_fox"},{"site":"NSW Office of Environment and Heritage","url","https://www.environment.nsw.gov.au/threatenedSpeciesApp/profile.aspx?id=10696"}]}
Kookaburra,BK,Bird,kookaburra.jpg,{[{"site":"","url":""}]}
Blue Tounge Lizard,LBT,Lizard,blue_tounge_lizard.jpg,{[{"site":"","url":""}]}
